DATE,XTEXVA01KRM667S
2002-01-01,12302680091.6873
2002-02-01,12318987238.5712
2002-03-01,12592531720.159601
2002-04-01,13354116334.188
2002-05-01,13756819110.7667
2002-06-01,12726403206.019499
2002-07-01,13676093468.0082
2002-08-01,14657147580.7593
2002-09-01,13927776702.8707
2002-10-01,14578850674.347301
2002-11-01,14531451120.1264
2002-12-01,14422946692.3677
2003-01-01,15485408912.906
2003-02-01,14674636785.260199
2003-03-01,14874817694.8975
2003-04-01,15556398630.4726
2003-05-01,14590366824.973099
2003-06-01,15227897489.658699
2003-07-01,15927267482.7893
2003-08-01,16031110894.3824
2003-09-01,17238046989.0997
2003-10-01,18137968798.7477
2003-11-01,17667820751.4575
2003-12-01,18828131342.0481
2004-01-01,20588939090.6518
2004-02-01,20835370928.6668
2004-03-01,20595244856.967197
2004-04-01,21164816479.8552
2004-05-01,20701561555.695198
2004-06-01,21110407617.5014
2004-07-01,21492451558.3106
2004-08-01,20768947489.113
2004-09-01,20942818685.5113
2004-10-01,22020255438.4683
2004-11-01,22059378145.338802
2004-12-01,22617978523.869698
2005-01-01,23914130478.9824
2005-02-01,22605986841.1681
2005-03-01,22974326114.5534
2005-04-01,22812576339.1445
2005-05-01,22718407313.9249
2005-06-01,23207648736.4433
2005-07-01,23602281630.6233
2005-08-01,24436981201.8442
2005-09-01,24647574943.2986
2005-10-01,24650508480.347797
2005-11-01,24790387033.9925
2005-12-01,24950724037.2572
2006-01-01,25054559720.6002
2006-02-01,26169991327.7899
2006-03-01,25950636988.2038
2006-04-01,25423933964.0741
2006-05-01,27385893098.983997
2006-06-01,27320306832.6955
2006-07-01,25957174164.7949
2006-08-01,28696884391.6303
2006-09-01,29483633604.37
2006-10-01,27700858438.8559
2006-11-01,28917412571.7191
2006-12-01,28590432776.9355
2007-01-01,29965825401.0256
2007-02-01,29173508563.4341
2007-03-01,29320170405.8371
2007-04-01,29576136709.3392
2007-05-01,30576259599.8285
2007-06-01,30921729843.7635
2007-07-01,30560696311.0877
2007-08-01,32032983988.929096
2007-09-01,29836763190.6689
2007-10-01,33437975128.638
2007-11-01,34429196616.7183
2007-12-01,32573917468.4242
2008-01-01,34866652344.5212
2008-02-01,34604126565.2256
2008-03-01,34709174504.0058
2008-04-01,37467210082.2561
2008-05-01,38243193306.240005
2008-06-01,36673018557.265305
2008-07-01,40090361721.127304
2008-08-01,38765295259.2303
2008-09-01,37361690095.4949
2008-10-01,36443995274.9528
2008-11-01,27915753650.9714
2008-12-01,26351321776.5552
2009-01-01,23526560703.597
2009-02-01,27345484398.0936
2009-03-01,27774453871.8695
2009-04-01,28964512717.0572
2009-05-01,27981305728.6983
2009-06-01,30759154169.6712
2009-07-01,31762251305.0015
2009-08-01,30307806901.5894
2009-09-01,34146870712.814804
2009-10-01,33084167969.4735
2009-11-01,33289038643.6775
2009-12-01,34999733140.035095
2010-01-01,33848908705.434097
2010-02-01,35895528822.415
2010-03-01,36704053202.4813
2010-04-01,37870489107.6718
2010-05-01,38822586307.373
