DATE,XTEXVA01IDM667S
2008-04-01,11217993572.535599
2008-05-01,12856593777.970098
2008-06-01,12882629679.0116
2008-07-01,12192441863.2649
2008-08-01,12245253353.7153
2008-09-01,11970191041.926601
2008-10-01,10244258064.587101
2008-11-01,9817536657.30427
2008-12-01,8496497465.637541
2009-01-01,7738397449.92438
2009-02-01,7697425598.63574
2009-03-01,8529643714.969099
2009-04-01,8678521856.70588
2009-05-01,9263373777.10173
2009-06-01,9354947254.49095
2009-07-01,9438566076.50387
2009-08-01,10366924050.8065
2009-09-01,9614464355.505049
2009-10-01,11740713028.816502
2009-11-01,10818604171.489101
2009-12-01,12734175516.6234
2010-01-01,12427269770.4561
2010-02-01,12034283909.0238
2010-03-01,12502792706.9874
2010-04-01,12339939722.7493
2010-05-01,12700566641.671999
2010-06-01,12317922944.822
2010-07-01,12304257739.0622
2010-08-01,13388029762.4431
2010-09-01,11917945664.1724
2010-10-01,13958948343.6735
2010-11-01,15520710607.8717
2010-12-01,16053506894.871902
2011-01-01,15636079876.5322
2011-02-01,15517368025.6585
2011-03-01,15989744006.6312
2011-04-01,17116339866.085901
2011-05-01,18240715024.0596
2011-06-01,18397421816.690598
2011-07-01,17340984636.8274
2011-08-01,18039595297.1122
2011-09-01,17170282078.1553
2011-10-01,16455581079.894
2011-11-01,17087118436.6547
2011-12-01,16453221673.3624
2012-01-01,16492191653.430801
2012-02-01,16827220381.716301
2012-03-01,16988413470.6925
2012-04-01,16706200363.324398
2012-05-01,16646245363.3698
2012-06-01,15630937363.4495
2012-07-01,15876781650.0013
2012-08-01,13609057600.4695
2012-09-01,15864320008.2206
2012-10-01,14595384983.0812
2012-11-01,16155724690.5816
2012-12-01,14976712005.2582
2013-01-01,16113211770.6862
2013-02-01,16123297651.952501
2013-03-01,14913567372.395
2013-04-01,15089032498.4613
2013-05-01,15984672991.863499
2013-06-01,15114049228.0645
2013-07-01,14754354273.6937
2013-08-01,12803432679.3999
2013-09-01,14536701836.1714
2013-10-01,14953862524.0683
2013-11-01,15920347846.565401
2013-12-01,16352475322.4862
2014-01-01,15155743557.4424
2014-02-01,15701963818.4503
2014-03-01,15055695370.191399
2014-04-01,14598556443.8724
2014-05-01,14859866842.416899
2014-06-01,15660857212.424301
2014-07-01,13816787698.841702
2014-08-01,14295192143.3955
2014-09-01,14954265203.4646
2014-10-01,14621101085.831001
2014-11-01,13725346383.8305
2014-12-01,13964755603.6205
2015-01-01,14115299342.7509
2015-02-01,13055282177.7547
2015-03-01,13359291555.5626
2015-04-01,13372072889.5277
2015-05-01,12871970227.4986
2015-06-01,13628650597.9009
2015-07-01,11213596043.0467
2015-08-01,12546616880.6877
2015-09-01,12325697358.658998
2015-10-01,11660051623.4379
2015-11-01,11085900168.813
2015-12-01,11389533016.1951
2016-01-01,11179368603.3499
2016-02-01,12093449087.355
2016-03-01,11442003986.9133
2016-04-01,11814837992.3202
2016-05-01,11592036905.7663
2016-06-01,13135014178.4077
2016-07-01,9494173973.77692
2016-08-01,12313461374.5608
2016-09-01,12310042208.324999
2016-10-01,12374846197.5387
2016-11-01,13329521080.0385
2016-12-01,13352876456.5581
2017-01-01,14146069948.2607
2017-02-01,13519239796.500101
2017-03-01,14234374482.3495
2017-04-01,13783816446.4161
2017-05-01,14322040388.620901
2017-06-01,11848130692.597801
2017-07-01,13544332997.307499
2017-08-01,14654378390.8293
2017-09-01,14422380849.662
2017-10-01,14666717130.3412
2017-11-01,15123232520.728899
2017-12-01,14500741240.7839
2018-01-01,15240675711.5636
2018-02-01,15141240975.4632
2018-03-01,15122776649.9005
2018-04-01,14901839500.9261
2018-05-01,16221731333.8296
2018-06-01,13309042673.8976
2018-07-01,16029793581.2788
2018-08-01,15292638387.261
2018-09-01,14940639401.0675
2018-10-01,15148351124.4373
2018-11-01,14636834143.591599
2018-12-01,13946770904.1355
2019-01-01,14669743535.9454
2019-02-01,13698726659.407001
2019-03-01,14203789227.2309
2019-04-01,13292941261.6346
2019-05-01,14816543717.7345
2019-06-01,12229193277.1929
2019-07-01,14845082695.972801
2019-08-01,13870264829.0063
2019-09-01,13934781741.7367
2019-10-01,14170209459.462801
2019-11-01,13867238858.9713
2019-12-01,13949467909.4148
2020-01-01,14260110167.0502
2020-02-01,15161518750.992601
2020-03-01,13679902373.5793
2020-04-01,12354195222.9388
2020-05-01,10736197966.5723
2020-06-01,12247865629.178501
2020-07-01,13346888970.672201
2020-08-01,12849945626.856
2020-09-01,13690162349.1646
2020-10-01,13812458249.921001
2020-11-01,15170086858.1694
2020-12-01,15844333316.242601
2021-01-01,16325139242.8583
2021-02-01,16345776141.228298
2021-03-01,17658733233.0535
2021-04-01,18746166970.914
2021-05-01,17418856017.955498
2021-06-01,18894799036.5951
2021-07-01,19059759672.2578
2021-08-01,20800618162.7133
2021-09-01,20211383096.746998
2021-10-01,21395004732.7114
2021-11-01,22493098890.2263
2021-12-01,21438059550.3608
2022-01-01,20489745800.026897
2022-02-01,21951190005.5771
2022-03-01,25481308867.809803
2022-04-01,27933027318.223198
2022-05-01,21933684888.806202
2022-06-01,26627354130.2682
2022-07-01,25369074950.560703
2022-08-01,26765716382.082397
2022-09-01,24304419018.1814
2022-10-01,24017852956.0071
2022-11-01,23725783106.2802
2022-12-01,23077243537.595303
2023-01-01,23638278351.7537
2023-02-01,22868661242.284203
2023-03-01,22517143529.0607
2023-04-01,19901760839.8214
2023-05-01,21929088481.5656
2023-06-01,20974623954.8581
2023-07-01,20702023126.649197
2023-08-01,21134337569.6451
